Query,APIs,APIClasses
Convert Collection to String With Delimiter,java.util.Arrays.asList(); java.util.Collection.isEmpty(); java.util.Collection.size(); java.lang.StringBuilder.append(); java.lang.StringBuilder.toString(); ,java.util.Arrays; java.util.Collection; java.lang.StringBuilder; 
Convert Date To String in MM-dd-yyyy format,java.util.Formatter.format(); java.util.logging.SimpleFormatter.format(); java.util.logging.XMLFormatter.format(); java.util.logging.Formatter.format(); ,java.util.Formatter; java.util.logging.SimpleFormatter; java.util.logging.XMLFormatter; java.util.logging.Formatter; 
Convert Date into XMLGregorianCalendar.,java.util.Calendar.setTimeInMillis(); java.util.Date.getTime(); javax.xml.datatype.DatatypeFactory.newInstance(); javax.xml.datatype.DatatypeFactory.newXMLGregorianCalendarDate(); ,java.util.Calendar; java.util.Date; javax.xml.datatype.DatatypeFactory; javax.xml.datatype.DatatypeFactory; 
Convert Date into milliseconds,java.util.Date.getTime(); ,java.util.Date; 
Convert Double object to String object,java.lang.String.toString(); ,java.lang.String; 
Convert Float Object to String Object,java.lang.String.toString(); ,java.lang.String; 
Convert HSB To RGB Color,java.awt.Color.HSBtoRGB(); ,java.awt.Color; 
Convert Integer to String,java.lang.String.toString(); ,java.lang.String; 
Convert Iterable as Set,java.util.Set.add(); java.util.Collections.addAll(); ,java.util.Set; java.util.Collections; 
Convert LdapName to String,java.lang.String.toString(); java.lang.String.equals(); ,java.lang.String; 
Convert List of Object to Set of Object,java.util.Arrays.asList(); ,java.util.Arrays; 
Convert List to Set,java.util.Arrays.asList(); java.util.Set.contains(); java.util.Set.add(); ,java.util.Arrays; java.util.Set; 
Convert List<Integer> to Array int[],java.util.Arrays.asList(); java.util.Arrays.toString(); ,java.util.Arrays; 
Convert LocalDateTime to java.util.Date,java.util.Date.from(); java.time.LocalDateTime.atZone(); java.time.chrono.ChronoZonedDateTime.toInstant(); java.time.chrono.ChronoLocalDateTime.toInstant(); java.time.OffsetDateTime.toInstant(); ,java.util.Date; java.time.LocalDateTime; java.time.chrono.ChronoZonedDateTime; java.time.chrono.ChronoLocalDateTime; java.time.OffsetDateTime; 
Convert Long object to String,java.lang.String.toString(); ,java.lang.String; 
Convert MIDI ShortMessage into a hex-dump string.,javax.sound.midi.MidiMessage.getStatus(); javax.sound.midi.ShortMessage.getData1(); javax.sound.midi.ShortMessage.getData2(); java.lang.Integer.toHexString(); ,javax.sound.midi.MidiMessage; javax.sound.midi.ShortMessage; javax.sound.midi.ShortMessage; java.lang.Integer; 
Convert MIDI SysexMessage into a hex-dump string.,javax.sound.midi.MidiMessage.getMessage(); javax.sound.midi.MidiEvent.getMessage(); ,javax.sound.midi.MidiMessage; javax.sound.midi.MidiEvent; 
Convert Node to XML Element,org.w3c.dom.Node.getNodeType(); org.w3c.dom.Node.getNodeName(); ,org.w3c.dom.Node; 
Convert Object Array to Set,java.util.Arrays.asList(); ,java.util.Arrays; 
Convert Object to Iterable,java.lang.Object.getClass(); java.lang.reflect.Array.getLength(); java.lang.reflect.Array.get(); ,java.lang.Object; java.lang.reflect.Array; 
Convert RGB To HSB Color,java.awt.Color.RGBtoHSB(); ,java.awt.Color; 
Convert RGB color model to a hexidecimal (represented as an integer) format,java.awt.Color.getRed(); java.awt.Color.getGreen(); java.awt.Color.getBlue(); ,java.awt.Color; 
Convert Serialized byte array to Object,java.util.logging.Logger.getLogger(); ,java.util.logging.Logger; 
Convert Short object to String object,java.lang.String.toString(); ,java.lang.String; 
Convert String Array To List,java.util.Arrays.asList(); java.util.List.size(); java.util.List.get(); java.util.Collections.addAll(); ,java.util.Arrays; java.util.List; java.util.Collections; 
Convert String As Enum Type,java.lang.String.isEmpty(); java.lang.Enum.valueOf(); ,java.lang.String; java.lang.Enum; 
Convert String Object to Boolean Object,java.lang.Boolean.valueOf(); ,java.lang.Boolean; 
Convert String as Bin byte array,java.util.Arrays.toString(); java.lang.String.length(); java.lang.Integer.parseInt(); java.lang.String.substring(); ,java.util.Arrays; java.lang.String; java.lang.Integer; 
Convert String in gb To Utf,java.lang.String.getBytes(); ,java.lang.String; 
Convert String to Alpha Number,java.lang.String.getBytes(); ,java.lang.String; 
Convert String to Ascii Bytes array,java.util.Arrays.toString(); java.nio.charset.Charset.forName(); ,java.util.Arrays; java.nio.charset.Charset; 
Convert String to Boolean value,java.lang.Boolean.parseBoolean(); java.lang.Throwable.printStackTrace(); ,java.lang.Boolean; java.lang.Throwable; 
Convert String to Byte,java.lang.Byte.valueOf(); ,java.lang.Byte; 
Convert String to CRC32,java.lang.String.getBytes(); java.lang.Long.toHexString(); ,java.lang.String; java.lang.Long; 
Convert String to Character,java.lang.Character.valueOf(); java.lang.StringBuilder.charAt(); java.lang.StringBuffer.charAt(); java.lang.CharSequence.charAt(); java.lang.String.charAt(); ,java.lang.Character; java.lang.StringBuilder; java.lang.StringBuffer; java.lang.CharSequence; java.lang.String; 
Convert String to Character Array,java.lang.String.toCharArray(); ,java.lang.String; 
Convert String to Float,java.lang.Float.valueOf(); java.lang.Float.parseFloat(); ,java.lang.Float; 
Convert String to Integer object,java.lang.Integer.valueOf(); ,java.lang.Integer; 
Convert String to Long Type,java.lang.Long.valueOf(); ,java.lang.Long; 
Convert String to Lower Case,java.lang.String.toLowerCase(); ,java.lang.String; 
Convert String to Short,java.lang.Short.valueOf(); ,java.lang.Short; 
Convert String to String Array with split method,java.lang.String.split(); ,java.lang.String; 
Convert String to int,java.lang.Integer.parseInt(); ,java.lang.Integer; 
Convert String to java.sql.Date,java.util.Date.getTime(); ,java.util.Date; 
Convert String to long,java.lang.Long.parseLong(); ,java.lang.Long; 
Convert String to primitive byte,java.lang.Byte.parseByte(); ,java.lang.Byte; 
Convert String to short primitive,java.lang.Short.parseShort(); ,java.lang.Short; 
Convert UTF8 bytes into UTF16 characters.,java.awt.Rectangle.grow(); ,java.awt.Rectangle; 
Convert XML dom To Text,javax.xml.transform.Transformer.transform(); java.lang.String.toString(); ,javax.xml.transform.Transformer; java.lang.String; 
Convert XML to Object using JAXB,javax.xml.bind.JAXBContext.newInstance(); ,javax.xml.bind.JAXBContext; 
"Convert a BufferedImage of any type, to BufferedImage of a specified type.",java.awt.Image.getGraphics(); ,java.awt.Image; 
Convert a Collection of T to a sorted List of T.,java.util.Arrays.asList(); java.util.Collections.sort(); ,java.util.Arrays; java.util.Collections; 
Convert a FASTQ string to a byte array of phred scores.,java.lang.String.length(); java.lang.String.charAt(); ,java.lang.String; 
Convert a Java int to a 4-byte array.,java.util.Arrays.toString(); java.nio.ByteBuffer.allocate(); java.nio.ByteBuffer.putInt(); java.nio.ByteBuffer.array(); ,java.util.Arrays; java.nio.ByteBuffer; 
Convert a Java long to a 8-byte array.,java.util.Arrays.toString(); java.nio.ByteBuffer.allocate(); java.nio.ByteBuffer.putLong(); java.nio.ByteBuffer.array(); ,java.util.Arrays; java.nio.ByteBuffer; 
Convert a Java short to a 2-byte array.,java.nio.ByteBuffer.allocate(); java.nio.ByteBuffer.putShort(); java.nio.ByteBuffer.array(); ,java.nio.ByteBuffer; 
Convert a List into an Object array with null check.,java.util.Arrays.toString(); java.util.Vector.toArray(); ,java.util.Arrays; java.util.Vector; 
Convert a String to a char array,java.util.Arrays.toString(); java.lang.String.length(); java.lang.String.getChars(); ,java.util.Arrays; java.lang.String; 
Convert a byte array into a BigInteger .,java.lang.System.arraycopy(); ,java.lang.System; 
Convert a byte array to a Java int.,java.nio.ByteBuffer.wrap(); java.nio.ByteBuffer.getInt(); ,java.nio.ByteBuffer; 
Convert a byte array to a Java long.,java.nio.ByteBuffer.wrap(); java.nio.ByteBuffer.getLong(); ,java.nio.ByteBuffer; 
Convert a byte array to a Java short.,java.nio.ByteBuffer.wrap(); java.nio.ByteBuffer.getShort(); ,java.nio.ByteBuffer; 
"Convert a byte array to a concise, readable string suitable for use in toString methods of the *Stat classes.",java.lang.String.toString(); ,java.lang.String; 
Convert a byte array to hexadecimal,java.util.Arrays.toString(); ,java.util.Arrays; 
Convert a calendar to a java.sql.Date.,java.util.Calendar.getTimeInMillis(); java.sql.Date.valueOf(); java.time.LocalDateTime.toLocalDate(); java.util.Date.getTime(); ,java.util.Calendar; java.sql.Date; java.time.LocalDateTime; java.util.Date; 
Convert a camel-case string to underscores,java.lang.String.replaceAll(); java.lang.String.toLowerCase(); java.lang.Character.toLowerCase(); ,java.lang.String; java.lang.Character; 
Convert a color to an RGB value.,java.lang.Math.round(); java.awt.Color.getRed(); java.awt.Color.getGreen(); java.awt.Color.getBlue(); ,java.lang.Math; java.awt.Color; 
Convert a color to an RGBA value.,java.lang.Math.round(); java.awt.Color.getRed(); java.awt.Color.getGreen(); java.awt.Color.getBlue(); java.awt.Color.getAlpha(); ,java.lang.Math; java.awt.Color; 
Convert a double to a byte array.,java.util.Arrays.toString(); ,java.util.Arrays; 
Convert a double value into a string with the maximal allowed length,java.lang.String.format(); java.lang.StringBuilder.length(); java.lang.StringBuffer.length(); java.lang.CharSequence.length(); java.lang.String.length(); ,java.lang.String; java.lang.StringBuilder; java.lang.StringBuffer; java.lang.CharSequence; 
Convert a hex representation to a Java int.,java.lang.Integer.parseInt(); ,java.lang.Integer; 
Convert a hex representation to a Java long.,java.lang.Long.parseLong(); ,java.lang.Long; 
Convert a hex representation to a Java short.,java.lang.Short.parseShort(); ,java.lang.Short; 
Convert a long to a hex representation.,java.lang.Long.toHexString(); ,java.lang.Long; 
Convert a number into a string of nucleotide codes.,java.lang.String.toString(); ,java.lang.String; 
Convert a short to a hex representation.,java.lang.Integer.toHexString(); ,java.lang.Integer; 
Convert a space-separated string into an array of strings.,java.lang.String.split(); ,java.lang.String; 
Convert a string into a Color object,java.lang.String.length(); java.lang.String.substring(); java.lang.Integer.parseInt(); ,java.lang.String; java.lang.Integer; 
"Convert a string to html content, Same as the xml version except that spaces and tabs are converted.",java.lang.String.toCharArray(); java.lang.String.toString(); ,java.lang.String; 
Convert a vararg list of items into a List.,java.util.List.add(); java.util.List.addAll(); ,java.util.List; 
Convert a varargs list of items into a Set while preserving order.,java.util.Set.add(); ,java.util.Set; 
Convert an IP address stored in an int to its string representation.,java.lang.String.toString(); ,java.lang.String; 
Convert an Image into a TYPE_INT_ARGB BufferedImage.,java.awt.Image.getWidth(); java.awt.Image.getHeight(); ,java.awt.Image; 
Convert an RDN to its String representation and vice-versa,javax.naming.ldap.Rdn.toString(); javax.naming.ldap.Rdn.equals(); ,javax.naming.ldap.Rdn; 
Convert an array of MIDI SysexMessage to a byte array.,javax.sound.midi.MidiMessage.getLength(); java.lang.System.arraycopy(); ,javax.sound.midi.MidiMessage; java.lang.System; 
Convert an array of bytes into an array of ints.,java.util.Arrays.toString(); ,java.util.Arrays; 
Convert an awt-color into an html-color-string.,java.lang.Integer.toHexString(); java.lang.String.toUpperCase(); ,java.lang.Integer; java.lang.String; 
Convert an html-color-code to an AWT-color.,java.lang.String.length(); java.lang.String.charAt(); java.lang.String.substring(); java.lang.Integer.parseInt(); ,java.lang.String; java.lang.Integer; 
Convert an int to a hex representation.,java.lang.Integer.toHexString(); ,java.lang.Integer; 
Convert an integer into a hex-string.,java.lang.Integer.toHexString(); java.lang.String.toUpperCase(); ,java.lang.Integer; java.lang.String; 
Convert an integer into a six bit binary string.,java.lang.String.toString(); ,java.lang.String; 
Convert an integer into an IPv4 INET address.,java.net.InetAddress.getByAddress(); ,java.net.InetAddress; 
Convert an integer to a byte array.,java.util.Arrays.toString(); ,java.util.Arrays; 
"Convert an object array to a string, suitable for use in toString methods of the *Stat classes.",java.lang.String.toString(); ,java.lang.String; 
Convert an xml Document object to a String,java.lang.String.toString(); ,java.lang.String; 
Convert any array To List,java.lang.reflect.Array.getLength(); java.lang.reflect.Array.get(); ,java.lang.reflect.Array; 
Convert array and Iterator as List,java.util.List.add(); java.util.Iterator.hasNext(); java.util.Iterator.next(); ,java.util.List; java.util.Iterator; 
Convert array as Collection,java.util.Collection.size(); java.util.ArrayList.addAll(); java.util.Arrays.asList(); java.util.Objects.isNull(); java.util.Collection.isEmpty(); ,java.util.Collection; java.util.ArrayList; java.util.Arrays; java.util.Objects; 
Convert binary number to decimal number,java.lang.Integer.parseInt(); ,java.lang.Integer; 
Convert boolean Primitive to Boolean object,java.lang.Boolean.valueOf(); ,java.lang.Boolean; 
Convert byte array to BufferedImage,javax.imageio.ImageIO.read(); ,javax.imageio.ImageIO; 
Convert byte array to HEX format.,java.lang.String.toString(); ,java.lang.String; 
Convert byte array to double,java.lang.Double.longBitsToDouble(); ,java.lang.Double; 
Convert byte array to double value.,java.nio.ByteBuffer.allocate(); java.lang.reflect.Array.getDouble(); java.lang.reflect.Field.getDouble(); ,java.nio.ByteBuffer; java.lang.reflect.Array; java.lang.reflect.Field; 
Convert byte array to float,java.lang.Float.intBitsToFloat(); ,java.lang.Float; 
Convert byte array to reversed double value.,java.nio.ByteBuffer.allocate(); java.lang.reflect.Array.getDouble(); java.lang.reflect.Field.getDouble(); ,java.nio.ByteBuffer; java.lang.reflect.Array; java.lang.reflect.Field; 
Convert char array to Byte Array,java.util.Arrays.toString(); java.lang.String.length(); java.lang.String.charAt(); ,java.util.Arrays; java.lang.String; 
Convert date string from one format to another format using SimpleDateFormat,java.lang.String.format(); ,java.lang.String; 
Convert decimal integer to binary number,java.lang.Integer.toBinaryString(); ,java.lang.Integer; 
Convert decimal integer to hexadecimal number,java.lang.Integer.toHexString(); ,java.lang.Integer; 
Convert double array to Float Array,java.util.Arrays.toString(); ,java.util.Arrays; 
Convert double value to String,java.lang.Double.toString(); java.lang.String.indexOf(); java.lang.String.length(); ,java.lang.Double; java.lang.String; 
Convert double value to byte array.,java.util.Arrays.toString(); java.nio.ByteBuffer.allocate(); ,java.util.Arrays; java.nio.ByteBuffer; 
Convert double value to reversed byte array.,java.util.Arrays.toString(); java.nio.ByteBuffer.allocate(); ,java.util.Arrays; java.nio.ByteBuffer; 
Convert energy from db scale to linear scale.,java.lang.Double.isNaN(); java.lang.Math.exp(); ,java.lang.Double; java.lang.Math; 
Convert float To Byte array,java.util.Arrays.toString(); java.lang.Float.floatToRawIntBits(); ,java.util.Arrays; java.lang.Float; 
Convert hex String To Byte Array,java.lang.String.toCharArray(); java.lang.StringBuilder.indexOf(); java.lang.StringBuffer.indexOf(); java.lang.String.indexOf(); java.lang.Character.toLowerCase(); ,java.lang.String; java.lang.StringBuilder; java.lang.StringBuffer; java.lang.Character; 
Convert hexadecimal number to decimal number,java.lang.Integer.parseInt(); ,java.lang.Integer; 
Convert int to BitSet,java.util.BitSet.set(); ,java.util.BitSet; 
Convert int to String,java.lang.Integer.toString(); ,java.lang.Integer; 
Convert int to byte array,java.util.Arrays.toString(); java.lang.Float.floatToRawIntBits(); java.lang.Double.doubleToRawLongBits(); ,java.util.Arrays; java.lang.Float; java.lang.Double; 
Convert integer to Binary String by length,java.lang.Integer.toBinaryString(); java.lang.StringBuilder.length(); java.lang.StringBuffer.length(); java.lang.CharSequence.length(); java.lang.String.length(); ,java.lang.Integer; java.lang.StringBuilder; java.lang.StringBuffer; java.lang.CharSequence; java.lang.String; 
Convert list of arrays of objects to array of arrays of objects.,java.util.Arrays.asList(); java.util.Arrays.toString(); java.lang.reflect.Array.newInstance(); java.util.List.size(); ,java.util.Arrays; java.lang.reflect.Array; java.util.List; 
Convert list to Array,java.util.Arrays.asList(); java.util.Arrays.toString(); ,java.util.Arrays; 
Convert method name to field name,java.lang.String.startsWith(); java.lang.String.substring(); java.lang.String.toLowerCase(); ,java.lang.String; 
Convert number of seconds to hour:minute:second format.,java.lang.String.valueOf(); ,java.lang.String; 
Convert object List To Object ArrayList,java.util.Arrays.asList(); java.util.Arrays.toString(); ,java.util.Arrays; 
Convert object To XML by JAXB,javax.xml.bind.JAXBContext.newInstance(); javax.xml.bind.JAXBContext.createMarshaller(); java.lang.String.toString(); ,javax.xml.bind.JAXBContext; javax.xml.bind.JAXBContext; java.lang.String; 
Convert octal number to decimal number,java.lang.Integer.parseInt(); ,java.lang.Integer; 
Convert pressure as inch to millibar.,java.lang.Math.round(); ,java.lang.Math; 
Convert pressure as millibar to inch Hg.,java.lang.Math.round(); ,java.lang.Math; 
Convert provided hex string representation in format AA:FF:47:11 byte array.,java.util.Arrays.toString(); javax.xml.bind.DatatypeConverter.parseHexBinary(); java.lang.String.replaceAll(); ,java.util.Arrays; javax.xml.bind.DatatypeConverter; java.lang.String; 
Convert set to list,java.util.List.add(); ,java.util.List; 
"Convert string as format ""yyyy-MM-dd HH:mm:ss"" or ""yyyy-MM-dd HH:mm"" or ""yyyy-MM-dd"" to java.util.Date.",java.util.Locale.LanguageRange.parse(); java.util.Date.parse(); java.util.logging.Level.parse(); ,java.util.Locale.LanguageRange; java.util.Date; java.util.logging.Level; 
Convert string to byte array by encoding,java.lang.String.getBytes(); ,java.lang.String; 
Convert the given number of bytes to human-readable String format.,java.lang.Math.log(); java.lang.String.charAt(); java.lang.Math.pow(); java.lang.String.format(); ,java.lang.Math; java.lang.String; 
Convert the given time duration into a human-readable string format.,java.lang.String.trim(); ,java.lang.String; 
Convert the supplied array into a List.,java.util.Arrays.asList(); ,java.util.Arrays; 
Convert the unbuffered stream to a buffered stream,java.nio.file.Paths.get(); java.nio.file.Files.newInputStream(); ,java.nio.file.Paths; java.nio.file.Files; 
Convert to XMLGregorianCalendar with date and time.,java.util.Calendar.setTime(); java.text.DateFormat.setCalendar(); javax.xml.datatype.DatatypeFactory.newInstance(); javax.xml.datatype.DatatypeFactory.newXMLGregorianCalendar(); ,java.util.Calendar; java.text.DateFormat; javax.xml.datatype.DatatypeFactory; javax.xml.datatype.DatatypeFactory; 
Convert to XMLGregorianCalendar with date only (time set to zero).,java.util.Calendar.setTime(); java.text.DateFormat.setCalendar(); javax.xml.datatype.DatatypeFactory.newInstance(); javax.xml.datatype.DatatypeFactory.newXMLGregorianCalendar(); ,java.util.Calendar; java.text.DateFormat; javax.xml.datatype.DatatypeFactory; javax.xml.datatype.DatatypeFactory; 
Convert to base 64 code using apache common codec,java.lang.String.format(); java.lang.String.toUpperCase(); ,java.lang.String; 
Convert value array to Double array,java.util.Arrays.toString(); java.lang.String.toString(); java.lang.System.getProperty(); ,java.util.Arrays; java.lang.String; java.lang.System; 
Convert value to String with Objects.toString,java.util.Objects.toString(); ,java.util.Objects; 
Convert variable length array to Vector,java.util.Arrays.asList(); ,java.util.Arrays; 
Convert variable length array to list,java.util.Arrays.asList(); ,java.util.Arrays; 
Convert velocity meter/second to miles/hour.,java.lang.Math.round(); ,java.lang.Math; 
Convert xml String To Object using JAXB,javax.xml.bind.JAXBContext.newInstance(); ,javax.xml.bind.JAXBContext; 
Convert youtube corresponding default image video url,java.lang.String.startsWith(); java.lang.String.split(); ,java.lang.String; 
Converting Between RGB and HSB Colors,java.awt.Color.RGBtoHSB(); java.awt.Color.HSBtoRGB(); ,java.awt.Color; 
Converting Between a BitSet and a Byte Array,java.lang.String.length(); ,java.lang.String; 
Converting Between a ByteBuffer an a Byte Array,java.nio.ByteBuffer.wrap(); java.nio.Buffer.remaining(); ,java.nio.ByteBuffer; java.nio.Buffer; 
Converting Between a Filename Path and a URL,java.io.File.toURL(); java.net.URL.getFile(); java.net.URL.openStream(); ,java.io.File; java.net.URL; 
Converting Between a URL and a URI,java.net.URI.toURL(); java.net.URL.toString(); ,java.net.URI; java.net.URL; 
Converting Between javax and java X509Certificates,java.security.cert.CertificateFactory.getInstance(); java.security.cert.CertificateFactory.generateCertificate(); javax.security.cert.X509Certificate.getInstance(); ,java.security.cert.CertificateFactory; java.security.cert.CertificateFactory; javax.security.cert.X509Certificate; 
Converting String into BigDecimal,java.text.DecimalFormat.setParseBigDecimal(); java.text.DecimalFormat.isParseBigDecimal(); java.math.BigInteger.toString(); java.math.BigDecimal.toString(); java.math.MathContext.toString(); ,java.text.DecimalFormat; java.text.DecimalFormat; java.math.BigInteger; java.math.BigDecimal; java.math.MathContext; 
Converting Unicode Characters to Digits,java.lang.Character.isDigit(); java.lang.Character.digit(); java.lang.Character.getName(); ,java.lang.Character; 
Converting a 56-bit Value to a DES Key,javax.crypto.spec.DESKeySpec.isParityAdjusted(); ,javax.crypto.spec.DESKeySpec; 
Converting a Buffered Image to an Image,java.awt.Toolkit.getDefaultToolkit(); java.awt.image.BufferedImage.getSource(); ,java.awt.Toolkit; java.awt.image.BufferedImage; 
Converting a Colored Buffered Image to Gray,java.awt.color.ColorSpace.getInstance(); ,java.awt.color.ColorSpace; 
Converting a Date to an Instant and Vice Versa,java.util.Date.from(); ,java.util.Date; 
Converting a Datetime in a Time Zone to Another Time Zone,java.time.LocalDateTime.of(); java.time.ZoneId.of(); java.time.ZonedDateTime.of(); ,java.time.LocalDateTime; java.time.ZoneId; java.time.ZonedDateTime; 
Converting a Node in a JTree Component to a TreePath,java.util.List.add(); java.util.Collections.reverse(); java.util.List.toArray(); ,java.util.List; java.util.Collections; 
Converting an Array to a Collection,java.util.Arrays.asList(); ,java.util.Arrays; 
Converting arrays to strings,java.lang.Math.random(); java.util.Arrays.toString(); ,java.lang.Math; java.util.Arrays; 
Converting between path types,java.nio.file.Paths.get(); java.nio.file.Path.toUri(); java.nio.file.Path.toAbsolutePath(); java.nio.file.Path.toRealPath(); ,java.nio.file.Paths; java.nio.file.Path; 
Converting to and from a String,java.lang.Double.parseDouble(); java.lang.String.valueOf(); java.lang.Double.toString(); ,java.lang.Double; java.lang.String; 
Converts (re samples and mono to/from stereo) audio data.,java.lang.System.arraycopy(); java.lang.Math.round(); ,java.lang.System; java.lang.Math; 
Converts SAC HSLA (or HSL) LexicalUnit value to RGBA,java.lang.String.format(); ,java.lang.String; 
Converts a 4x4 2D byte array to a concatenated linear byte array,java.lang.System.arraycopy(); ,java.lang.System; 
Converts a BigInteger array into an integer array,java.math.BigInteger.intValue(); java.math.BigDecimal.intValue(); ,java.math.BigInteger; java.math.BigDecimal; 
"Converts a BigInteger array into an integer array, reducing all BigIntegers mod q.",java.math.BigInteger.valueOf(); java.math.BigInteger.mod(); java.math.BigInteger.intValue(); java.math.BigDecimal.intValue(); ,java.math.BigInteger; java.math.BigInteger; java.math.BigDecimal; 
Converts a BigInteger into a hex string.,java.math.BigInteger.toByteArray(); ,java.math.BigInteger; 
"Converts a BigInteger, e.g.",java.math.BigInteger.toByteArray(); java.lang.Math.min(); ,java.math.BigInteger; java.lang.Math; 
"Converts a Boolean to a String returning 'on', 'off', or null.",java.lang.Boolean.booleanValue(); ,java.lang.Boolean; 
"Converts a Boolean to a String returning 'true', 'false', or null.",java.lang.Boolean.booleanValue(); ,java.lang.Boolean; 
"Converts a Boolean to a String returning 'yes', 'no', or null.",java.lang.Boolean.booleanValue(); ,java.lang.Boolean; 
Converts a Boolean to a String returning one of the input Strings.,java.lang.Boolean.booleanValue(); ,java.lang.Boolean; 
Converts a Boolean to a boolean handling null.,java.lang.Boolean.booleanValue(); ,java.lang.Boolean; 
Converts a ByteBuffer to a BufferedImage.,java.awt.image.Raster.getDataBuffer(); ,java.awt.image.Raster; 
"Converts a CSV(comma-separated value) list into a vector, containing all values as strings.",java.util.StringTokenizer.hasMoreTokens(); java.util.StringTokenizer.nextToken(); java.lang.String.trim(); ,java.util.StringTokenizer; java.lang.String; 
Converts a Color to a hex color string.,java.lang.String.format(); java.awt.Color.getRGB(); ,java.lang.String; java.awt.Color; 
Converts a HSV array back to an RGB array.,java.util.Arrays.toString(); java.lang.Math.floor(); ,java.util.Arrays; java.lang.Math; 
Converts a MIDI number into a note name in scientific pitch notation,javax.sound.midi.Track.get(); ,javax.sound.midi.Track; 
"Converts a Macintosh-style timestamp (seconds since January 1, 1904) into a Java date.",java.util.Calendar.getInstance(); java.sql.Timestamp.getTime(); java.sql.CallableStatement.getTime(); java.sql.ResultSet.getTime(); ,java.util.Calendar; java.sql.Timestamp; java.sql.CallableStatement; java.sql.ResultSet; 
Converts a SQL timestamp into a Calendar .,java.util.Calendar.getInstance(); java.util.Calendar.setTimeInMillis(); java.sql.Timestamp.getTime(); java.sql.CallableStatement.getTime(); java.sql.ResultSet.getTime(); ,java.util.Calendar; java.util.Calendar; java.sql.Timestamp; java.sql.CallableStatement; java.sql.ResultSet; 
Converts a String to lower case as per String#toLowerCase(),java.lang.String.toLowerCase(); java.lang.Character.toLowerCase(); ,java.lang.String; java.lang.Character; 
Converts a String to upper case as per String#toUpperCase(),java.lang.String.toUpperCase(); java.lang.Character.toUpperCase(); ,java.lang.String; java.lang.Character; 
Converts a boolean array into a BitSet,java.util.BitSet.set(); ,java.util.BitSet; 
Converts a boolean to an Integer specifying the conversion values.,java.lang.Boolean.booleanValue(); ,java.lang.Boolean; 
Converts a boolean to an int using the convention that zero is false.,java.lang.Boolean.booleanValue(); ,java.lang.Boolean; 
Converts a byte Array to an BufferedImage,javax.imageio.ImageIO.read(); ,javax.imageio.ImageIO; 
Converts a byte array to a Base64 encoded string,java.lang.Math.min(); ,java.lang.Math; 
Converts a byte array to a char array.,java.util.Arrays.toString(); ,java.util.Arrays; 
Converts a byte array to a class.,java.lang.Class.getClassLoader(); ,java.lang.Class; 
Converts a byte array to a float via ByteBuffer.,java.nio.ByteBuffer.wrap(); java.nio.ByteBuffer.getFloat(); ,java.nio.ByteBuffer; 
Converts a byte array to a long array.,java.util.Arrays.toString(); java.nio.ByteBuffer.wrap(); java.nio.ByteBuffer.getLong(); ,java.util.Arrays; java.nio.ByteBuffer; 
Converts a byte array to an object.,java.lang.Class.getClassLoader(); java.lang.reflect.Constructor.newInstance(); java.lang.reflect.Array.newInstance(); java.lang.Class.newInstance(); java.lang.Throwable.printStackTrace(); ,java.lang.Class; java.lang.reflect.Constructor; java.lang.reflect.Array; java.lang.Throwable; 
"Converts a byte into a String of length 8, consisting of 0s and 1s that corresponds to the binary representation of the byte",java.lang.Integer.toBinaryString(); java.lang.String.replace(); java.lang.String.length(); java.lang.String.concat(); ,java.lang.Integer; java.lang.String; 
Converts a collection to a primitive array of a given type.,java.util.Arrays.asList(); java.util.Arrays.toString(); java.lang.reflect.Array.newInstance(); java.util.Collection.size(); ,java.util.Arrays; java.lang.reflect.Array; java.util.Collection; 
"Converts a color into a String like ""255,0,0,255"" (red,green,blue,alpha).",java.awt.Color.getRed(); java.awt.Color.getGreen(); java.awt.Color.getBlue(); java.awt.Color.getAlpha(); ,java.awt.Color; 
Converts a color into a String like #RRGGBB.,java.lang.Integer.toHexString(); java.awt.Color.getRGB(); java.lang.String.substring(); ,java.lang.Integer; java.awt.Color; java.lang.String; 
"Converts a color into a String like 255,0,0.",java.awt.Color.getRed(); java.awt.Color.getGreen(); java.awt.Color.getBlue(); ,java.awt.Color; 
Converts a color string.,java.lang.String.split(); java.lang.Double.parseDouble(); java.lang.String.trim(); ,java.lang.String; java.lang.Double; java.lang.String; 
Converts a color's RGB presentation to a textual hexadecimal representation.,java.lang.String.format(); ,java.lang.String; 
Converts a colour to hex rgb notation.,java.awt.Color.getRGB(); java.lang.String.format(); ,java.awt.Color; java.lang.String; 
Converts a float to a byte array with a length of 4.,java.util.Arrays.toString(); java.nio.ByteBuffer.allocate(); ,java.util.Arrays; java.nio.ByteBuffer; 
Converts a given integer value to a byte array,java.util.Arrays.toString(); ,java.util.Arrays; 
Converts a given long value to a byte array,java.util.Arrays.toString(); ,java.util.Arrays; 
Converts a hex number into a decimal number.,java.lang.Math.pow(); ,java.lang.Math; 
Converts a java.util.Date into an instance of XMLGregorianCalendar,java.util.Calendar.setTimeInMillis(); java.util.Date.getTime(); javax.xml.datatype.DatatypeFactory.newXMLGregorianCalendar(); ,java.util.Calendar; java.util.Date; javax.xml.datatype.DatatypeFactory; 
